time,TP9,AF7,AF8,TP10,AUX
1731699273446,-310.05859375,764.16015625,761.71875,-172.36328125,985.3515625
1731699273449.9062,38.57421875,264.6484375,212.40234375,-20.01953125,-720.21484375
1731699273453.8125,272.94921875,-1000,-1000,47.8515625,-1000
1731699273457.7188,-33.69140625,-921.875,-916.015625,-77.1484375,636.71875
1731699273461.625,-308.59375,658.203125,657.71484375,-162.59765625,999.51171875
1731699273465.5312,-79.1015625,908.69140625,896.484375,-39.55078125,-472.65625
1731699273469.4375,238.76953125,-801.7578125,-814.94140625,84.47265625,-1000
1731699273473.3438,72.265625,-1000,-1000,-34.1796875,18.5546875
1731699273477.25,-291.9921875,512.6953125,517.578125,-166.015625,999.51171875
1731699273481.1562,-206.54296875,999.51171875,999.51171875,-88.37890625,92.7734375
1731699273485.0625,183.10546875,-608.3984375,-617.1875,54.6875,-1000
1731699273488.9688,150.87890625,-1000,-1000,7.8125,-550.78125
1731699273492.875,-242.1875,34.1796875,45.8984375,-136.23046875,959.9609375
1731699273496.7812,-307.6171875,999.51171875,999.51171875,-128.90625,831.54296875
1731699273500.6875,48.33984375,241.2109375,222.65625,34.1796875,-835.9375
1731699273504.5938,202.1484375,-1000,-1000,48.33984375,-993.1640625
1731699273508.5,-128.41796875,-596.19140625,-592.28515625,-83.0078125,704.1015625
1731699273512.4062,-328.61328125,951.171875,952.1484375,-116.69921875,999.51171875
1731699273516.3125,-63.96484375,926.7578125,921.875,24.4140625,-658.203125
1731699273520.2188,205.078125,-752.44140625,-758.7890625,80.078125,-1000
1731699273524.125,-27.34375,-966.30859375,-962.40234375,-38.57421875,540.52734375
1731699273528.0312,-286.1328125,736.81640625,745.60546875,-105.46875,999.51171875
1731699273531.9375,-106.93359375,999.51171875,999.51171875,-22.4609375,-332.03125
1731699273535.8438,147.94921875,-601.07421875,-621.58203125,70.3125,-1000
1731699273539.75,51.7578125,-996.58203125,-997.55859375,15.13671875,-75.1953125
1731699273543.6562,-145.5078125,558.59375,560.546875,-50.78125,999.51171875
