time,TP9,AF7,AF8,TP10,AUX
1731699722555.375,-1000,969.23828125,-1000,-1000,-1000
1731699722559.2812,-1000,969.23828125,-1000,-1000,-1000
1731699722563.1875,-1000,969.23828125,-1000,-1000,-1000
1731699722567.0938,-1000,969.23828125,-1000,-1000,-1000
1731699722571,-1000,969.23828125,-1000,-1000,-1000
1731699722574.9062,-1000,969.23828125,-1000,-1000,-1000
1731699722578.8125,-1000,969.23828125,-1000,-1000,-1000
1731699722582.7188,-1000,969.23828125,-1000,-1000,-1000
1731699722586.625,-1000,969.23828125,-1000,-1000,-1000
1731699722590.5312,-1000,969.23828125,-1000,-1000,-1000
1731699722594.4375,-1000,969.23828125,-1000,-1000,-1000
1731699722598.3438,-1000,969.23828125,-1000,-1000,-1000
1731699722602.25,-1000,969.23828125,-1000,-1000,-1000
1731699722606.1562,-1000,969.23828125,-1000,-1000,-1000
1731699722610.0625,-1000,969.23828125,-995.1171875,-1000,-1000
1731699722613.9688,-1000,969.23828125,-999.0234375,-1000,-1000
1731699722617.875,-1000,969.23828125,-988.28125,-1000,-1000
1731699722621.7812,-1000,969.23828125,-749.51171875,-1000,-1000
1731699722625.6875,-1000,969.23828125,-459.47265625,-1000,-1000
1731699722629.5938,-1000,969.23828125,-86.9140625,-1000,-1000
1731699722633.5,-1000,969.23828125,152.83203125,-1000,-1000
1731699722637.4062,-1000,969.23828125,493.65234375,-1000,-1000
1731699722641.3125,-1000,969.23828125,815.91796875,-1000,-1000
1731699722645.2188,-1000,969.23828125,557.6171875,-1000,-1000
1731699722649.125,-1000,969.23828125,565.91796875,-1000,-1000
1731699722653.0312,-1000,969.23828125,680.6640625,-1000,-1000
1731699722656.9375,-1000,969.23828125,503.90625,-1000,-1000
1731699722660.8438,-1000,969.23828125,53.22265625,-1000,-1000
1731699722664.75,-1000,969.23828125,-362.3046875,-1000,-1000
1731699722668.6562,-1000,969.23828125,-403.80859375,-1000,-1000
1731699722672.5625,-1000,969.23828125,-365.234375,-1000,-1000
1731699722676.4688,-1000,969.23828125,-872.0703125,-1000,-1000
1731699722680.375,-1000,969.23828125,-1000,-1000,-1000
1731699722684.2812,-1000,969.23828125,-965.33203125,-1000,-1000
1731699722688.1875,-1000,969.23828125,-870.1171875,-1000,-1000
1731699722692.0938,-1000,969.23828125,-905.2734375,-1000,-1000
1731699722696,-1000,969.23828125,-1000,-1000,-1000
1731699722699.9062,-1000,969.23828125,-993.65234375,-1000,-1000
1731699722703.8125,-1000,969.23828125,-752.44140625,-1000,-1000
1731699722707.7188,-1000,969.23828125,-834.47265625,-1000,-1000
1731699722711.625,-1000,969.23828125,-962.40234375,-1000,-1000
1731699722715.5312,-1000,969.23828125,-630.859375,-1000,-1000
1731699722719.4375,-1000,969.23828125,-222.16796875,-1000,-1000
1731699722723.3438,-1000,969.23828125,-64.453125,-1000,-1000
1731699722727.25,-1000,969.23828125,-258.30078125,-1000,-1000
1731699722731.1562,-1000,969.23828125,-363.28125,-1000,-1000
1731699722735.0625,-1000,969.23828125,-253.41796875,-1000,-1000
1731699722738.9688,-1000,969.23828125,213.37890625,-1000,-1000
1731699722742.875,-1000,969.23828125,-200.1953125,-1000,-1000
1731699722746.7812,-1000,969.23828125,-557.6171875,-1000,-1000
1731699722750.6875,-1000,969.23828125,-651.3671875,-1000,-1000
1731699722754.5938,-1000,969.23828125,-817.87109375,-1000,-1000
1731699722758.5,-1000,969.23828125,-949.70703125,-1000,-1000
1731699722762.4062,-1000,969.23828125,-1000,-1000,-1000
1731699722766.3125,-1000,969.7265625,-992.1875,-1000,-1000
1731699722770.2188,-1000,969.23828125,-1000,-1000,-1000
1731699722774.125,-1000,969.23828125,-1000,-1000,-1000
1731699722778.0312,-1000,969.23828125,-1000,-1000,-1000
1731699722781.9375,-1000,969.23828125,-1000,-1000,-1000
1731699722785.8438,-1000,969.23828125,-1000,-1000,-1000
1731699722789.75,-1000,969.7265625,-1000,-1000,-1000
1731699722793.6562,-1000,969.23828125,-1000,-1000,-1000
1731699722797.5625,-1000,969.23828125,-1000,-1000,-1000
1731699722801.4688,-1000,969.23828125,-1000,-1000,-1000
1731699722805.375,-1000,969.23828125,-1000,-1000,-1000
1731699722809.2812,-1000,969.23828125,-990.234375,-1000,-1000
1731699722813.1875,-1000,969.23828125,-996.58203125,-1000,-1000
1731699722817.0938,-1000,969.23828125,-1000,-1000,-1000
1731699722821,-1000,969.23828125,-504.8828125,-1000,-1000
1731699722824.9062,-1000,969.23828125,-530.76171875,-1000,-1000
1731699722828.8125,-1000,969.23828125,-1000,-1000,-1000
1731699722832.7188,-1000,969.23828125,-1000,-1000,-1000
1731699722836.625,-1000,969.23828125,-842.28515625,-1000,-1000
1731699722840.5312,-1000,969.23828125,-656.73828125,-1000,-1000
1731699722844.4375,-1000,969.23828125,-966.30859375,-1000,-1000
1731699722848.3438,-948.2421875,969.23828125,-996.58203125,-1000,-1000
1731699722852.25,-1000,969.23828125,-855.95703125,-1000,-1000
1731699722856.1562,-945.3125,969.23828125,-840.8203125,-1000,-1000
1731699722860.0625,648.4375,969.23828125,-576.171875,-1000,-1000
1731699722863.9688,310.546875,969.23828125,-635.7421875,-1000,-1000
1731699722867.875,-1000,969.23828125,-933.10546875,-1000,-1000
1731699722871.7812,-1000,969.23828125,-793.9453125,-1000,-1000
1731699722875.6875,-62.5,969.23828125,-683.59375,-1000,-1000
1731699722879.5938,999.51171875,969.23828125,147.4609375,-953.125,-1000
1731699722883.5,199.21875,969.23828125,-183.59375,-1000,-1000
1731699722887.4062,-1000,969.23828125,-1000,-916.9921875,-1000
1731699722891.3125,36.62109375,969.23828125,-911.1328125,453.61328125,-1000
1731699722895.2188,999.51171875,969.23828125,-723.6328125,999.51171875,-1000
1731699722899.125,-462.890625,969.23828125,-904.78515625,902.83203125,-1000
1731699722903.0312,-1000,969.23828125,-1000,978.515625,-1000
1731699722906.9375,-889.6484375,969.23828125,-985.83984375,969.23828125,-1000
1731699722910.8438,-652.34375,969.23828125,-1000,969.23828125,-1000
1731699722914.75,-914.55078125,969.23828125,-1000,969.23828125,-1000
1731699722918.6562,-1000,969.23828125,-1000,969.23828125,-1000
1731699722922.5625,-1000,969.23828125,-1000,969.23828125,-1000
1731699722926.4688,-609.375,969.23828125,-1000,969.23828125,-1000
1731699722930.375,-723.6328125,969.23828125,-1000,969.23828125,-1000
1731699722934.2812,-1000,969.23828125,-1000,969.23828125,-1000
1731699722938.1875,-1000,969.23828125,-1000,969.23828125,-1000
1731699722942.0938,-610.3515625,969.23828125,-1000,969.23828125,-1000
1731699722946,-269.53125,969.23828125,-1000,969.23828125,-1000
1731699722949.9062,-1000,969.23828125,-1000,969.23828125,-1000
1731699722953.8125,-1000,969.23828125,-1000,969.23828125,-1000
1731699722957.7188,-973.6328125,969.23828125,-1000,969.23828125,-1000
1731699722961.625,-1000,969.23828125,-1000,969.23828125,-1000
1731699722965.5312,-1000,969.23828125,-1000,969.23828125,-1000
1731699722969.4375,-1000,969.23828125,-1000,969.23828125,-1000
1731699722973.3438,-1000,969.23828125,-1000,969.23828125,-1000
1731699722977.25,-1000,969.23828125,-1000,969.23828125,-1000
1731699722981.1562,-1000,969.23828125,-1000,968.75,-1000
1731699722985.0625,-1000,969.23828125,-1000,969.23828125,-1000
1731699722988.9688,-1000,969.23828125,-1000,969.23828125,-1000
1731699722992.875,-1000,969.23828125,-1000,969.23828125,-1000
1731699722996.7812,-988.28125,969.23828125,-1000,969.23828125,-1000
1731699723000.6875,-953.125,969.23828125,-1000,969.23828125,-1000
1731699723004.5938,-1000,969.23828125,-1000,969.23828125,-1000
1731699723008.5,-56.640625,969.23828125,-1000,969.23828125,-1000
1731699723012.4062,999.51171875,969.23828125,-1000,969.23828125,-1000
1731699723016.3125,-88.37890625,969.23828125,-1000,969.23828125,-1000
1731699723020.2188,-1000,969.23828125,-975.09765625,969.23828125,-1000
1731699723024.125,138.671875,969.23828125,-1000,969.23828125,-1000
1731699723028.0312,999.51171875,969.23828125,-895.01953125,969.23828125,-1000
1731699723031.9375,912.59765625,969.23828125,-44.43359375,969.23828125,-1000
1731699723035.8438,962.890625,969.23828125,-509.765625,976.5625,-1000
1731699723039.75,969.23828125,969.23828125,-256.8359375,939.453125,-1000
1731699723043.6562,968.26171875,969.23828125,999.51171875,959.9609375,-1000
1731699723047.5625,968.26171875,969.23828125,957.51953125,999.51171875,-1000
1731699723051.4688,968.26171875,969.23828125,942.87109375,-255.859375,-1000
1731699723055.375,968.26171875,969.23828125,975.09765625,-1000,-1000
1731699723059.2812,968.26171875,969.23828125,969.23828125,-936.5234375,-1000
1731699723063.1875,968.26171875,969.23828125,969.23828125,-1000,-1000
1731699723067.0938,968.75,969.23828125,969.23828125,-1000,-1000
1731699723071,968.26171875,969.23828125,969.23828125,-1000,-1000
1731699723074.9062,968.26171875,969.23828125,969.23828125,-1000,-1000
1731699723078.8125,968.26171875,969.23828125,969.23828125,-1000,-1000
1731699723082.7188,968.26171875,969.23828125,969.23828125,-1000,-1000
1731699723086.625,968.26171875,969.23828125,969.23828125,-1000,-1000
1731699723090.5312,968.26171875,969.23828125,969.23828125,-1000,-1000
1731699723094.4375,968.26171875,969.23828125,969.23828125,-1000,-1000
1731699723098.3438,968.26171875,969.23828125,969.7265625,-1000,-1000
1731699723102.25,968.26171875,969.23828125,973.14453125,-1000,-1000
1731699723106.1562,968.26171875,969.23828125,905.76171875,-1000,-1000
1731699723110.0625,968.26171875,969.23828125,999.51171875,-1000,-1000
1731699723113.9688,968.26171875,969.23828125,281.73828125,-1000,-1000
1731699723117.875,968.26171875,969.23828125,-1000,-1000,-997.55859375
1731699723121.7812,968.26171875,969.23828125,-1000,-1000,-1000
1731699723125.6875,968.26171875,969.23828125,-965.8203125,-1000,-982.421875
1731699723129.5938,968.26171875,969.23828125,-1000,-1000,-1000
1731699723133.5,968.26171875,969.23828125,-1000,-1000,-979.98046875
1731699723137.4062,968.26171875,969.23828125,-1000,-1000,-424.31640625
1731699723141.3125,968.75,969.23828125,-1000,-1000,-602.5390625
1731699723145.2188,968.75,969.23828125,-1000,-1000,-1000
1731699723149.125,968.26171875,969.23828125,-1000,-961.42578125,-980.95703125
1731699723153.0312,968.26171875,969.23828125,-1000,-1000,-996.58203125
1731699723156.9375,968.75,969.23828125,-1000,-992.1875,-1000
1731699723160.8438,968.26171875,969.23828125,-1000,337.40234375,-1000
1731699723164.75,968.26171875,969.23828125,-1000,999.51171875,-1000
1731699723168.6562,968.26171875,969.23828125,-1000,902.83203125,-992.67578125
1731699723172.5625,968.26171875,969.23828125,-966.30859375,975.5859375,-1000
1731699723176.4688,968.75,969.23828125,-1000,969.23828125,-914.0625
1731699723180.375,968.26171875,969.23828125,-901.3671875,969.23828125,-1000
1731699723184.2812,968.26171875,969.23828125,217.7734375,969.23828125,-552.24609375
1731699723188.1875,974.12109375,969.23828125,944.3359375,969.23828125,51.7578125
1731699723192.0938,898.92578125,969.23828125,927.24609375,968.75,-839.35546875
1731699723196,999.51171875,969.23828125,968.26171875,969.23828125,-1000
1731699723199.9062,289.55078125,969.23828125,967.7734375,969.23828125,-397.4609375
1731699723203.8125,-1000,970.703125,971.19140625,969.23828125,932.6171875
1731699723207.7188,-1000,960.44921875,963.8671875,969.23828125,992.67578125
1731699723211.625,-964.84375,920.8984375,916.50390625,969.23828125,922.36328125
1731699723215.5312,-1000,999.51171875,999.51171875,969.23828125,981.4453125
1731699723219.4375,-1000,37.109375,91.30859375,969.23828125,968.26171875
1731699723223.3438,-1000,-1000,-1000,969.23828125,968.26171875
1731699723227.25,-1000,-925.78125,-971.6796875,969.23828125,968.26171875
